countrycode,year,percentile,headcount,share_income,welfare,cumm_income
BRA,2017,68,0.68,0.010168701820580994,42.67849345058082,<= 80%
BRA,2017,69,0.6899995,0.010296493423180564,43.21484048590704,<= 80%
BRA,2017,70,0.7000018,0.010830740002547579,45.45709712208477,<= 80%
BRA,2017,71,0.710007,0.011390906367982678,47.8081402522974,<= 80%
BRA,2017,72,0.7199912,0.011475581438102149,48.16352528465296,<= 80%
BRA,2017,73,0.7300031,0.011560256508221619,48.518910317008526,<= 80%
BRA,2017,74,0.7400063,0.01164493157834109,48.8742953493641,<= 80%
BRA,2017,75,0.7500001,0.012030145466289222,50.49105515646087,<= 80%
BRA,2017,76,0.7600034,0.01249853174655191,52.45689319038514,<= 80%
BRA,2017,77,0.7700243,0.01296894371869034,54.431233143136126,<= 80%
BRA,2017,78,0.7800032,0.013392165181537935,56.20751243118927,<= 80%
BRA,2017,79,0.7899999,0.01381538664438553,57.98379171924241,<= 80%
BRA,2017,80,0.8000005,0.014059998911079452,59.010440273426475,<= 80%
BRA,2017,81,0.809995,0.014645678059698542,61.468561688481735,<= 100%
BRA,2017,82,0.820006,0.015341321837611102,64.38820953964492,<= 100%
BRA,2017,83,0.8299996,0.015661588270357647,65.73238199091593,<= 100%
BRA,2017,84,0.8400103,0.0158202118506669,66.39813220690066,<= 100%
BRA,2017,85,0.8500003,0.01597883543097615,67.06388242288538,<= 100%
BRA,2017,86,0.8600248,0.0161374590112854,67.7296326388701,<= 100%
BRA,2017,87,0.8699982,0.01629608259159465,68.39538285485483,<= 100%
BRA,2017,88,0.8800145,0.016552917405943023,69.47332998472965,<= 100%
BRA,2017,89,0.8900109,0.017842416069023488,74.88541318058324,<= 100%
BRA,2017,90,0.8999928,0.019155799624627642,80.39774233183275,<= 100%
BRA,2017,91,0.9099993,0.020139530826060268,84.5265059024687,<= 100%
BRA,2017,92,0.919993,0.021607268424701162,90.6866658320267,<= 100%
BRA,2017,93,0.9300035,0.02254402621085618,94.61827989118626,<= 100%
BRA,2017,94,0.9399981,0.023767043765515514,99.75133892049423,<= 100%
BRA,2017,95,0.9500057,0.025240338067787367,105.93482058213812,<= 100%
BRA,2017,96,0.9600018,0.027748378882285103,116.46117934100033,<= 100%
