countrycode,percentile,headcount,share_income,welfare,cumm_income
COL,84,0.8337921,0.015079707839722456,20.749238294158072,< 60%
COL,85,0.8441274,0.01560981019199259,21.544296627239667,< 60%
COL,86,0.85267250000000006,0.01621131274318266,22.355770163822214,< 60%
COL,87,0.8604935,0.01689263457148682,22.958693326812327,< 60%
COL,88,0.8751463,0.018066460131096584,24.54449581073104,< 60%
COL,89,0.8814739,0.01850151511434528,25.342315141127035,< 80%
COL,90,0.8928331,0.019866901575868123,26.958341593430276,< 80%
COL,91,0.902781,0.020923059473212824,28.5374715671812,< 80%
COL,92,0.9152396,0.022570174581628133,30.549360888894096,< 80%
COL,93,0.9222108,0.02369427947433478,32.13657225126199,< 80%
COL,94,0.9336892,0.02622250747989474,35.2962457798373,< 80%
COL,95,0.9463003,0.029207134870284368,39.33720424524023,< 80%
