Time,Country,Series,Scale,Data
YR2006,BDI,SI.POV.NAHC.NC,0,67.1
YR2013,BDI,SI.POV.NAHC.NC,0,64.9
YR1999,BEN,SI.POV.NAHC,0,
YR2003,BEN,SI.POV.NAHC,0,
YR2006,BEN,SI.POV.NAHC,0,37.5
YR2007,BEN,SI.POV.NAHC,0,33
YR2010,BEN,SI.POV.NAHC,0,35.2
YR2011,BEN,SI.POV.NAHC,0,36.2
YR2015,BEN,SI.POV.NAHC,0,40.1
YR1999,BEN,SI.POV.NAHC.NC,0,29
YR2003,BEN,SI.POV.NAHC.NC,0,39
YR2006,BEN,SI.POV.NAHC.NC,0,37.5
YR2007,BEN,SI.POV.NAHC.NC,0,33
YR2010,BEN,SI.POV.NAHC.NC,0,35.2
YR2011,BEN,SI.POV.NAHC.NC,0,36.2
YR2015,BEN,SI.POV.NAHC.NC,0,40.1
YR1994,BFA,SI.POV.NAHC,0,
YR1998,BFA,SI.POV.NAHC,0,
YR2003,BFA,SI.POV.NAHC,0,51.1
YR2009,BFA,SI.POV.NAHC,0,46.7
YR2014,BFA,SI.POV.NAHC,0,40.1
YR1994,BFA,SI.POV.NAHC.NC,0,44.5
YR1998,BFA,SI.POV.NAHC.NC,0,45.3
YR2003,BFA,SI.POV.NAHC.NC,0,51.1
YR2009,BFA,SI.POV.NAHC.NC,0,46.7
YR2014,BFA,SI.POV.NAHC.NC,0,40.1
YR1991,BGD,SI.POV.NAHC,0,
YR1995,BGD,SI.POV.NAHC,0,
YR2000,BGD,SI.POV.NAHC,0,48.9
YR2005,BGD,SI.POV.NAHC,0,40
YR2010,BGD,SI.POV.NAHC,0,31.5
YR2016,BGD,SI.POV.NAHC,0,24.3
YR1991,BGD,SI.POV.NAHC.NC,0,56.6
YR1995,BGD,SI.POV.NAHC.NC,0,50.1
YR2000,BGD,SI.POV.NAHC.NC,0,48.9
YR2005,BGD,SI.POV.NAHC.NC,0,40
YR2010,BGD,SI.POV.NAHC.NC,0,31.5
YR2016,BGD,SI.POV.NAHC.NC,0,24.3
YR2000,BGR,SI.POV.NAHC,0,
YR2001,BGR,SI.POV.NAHC,0,
YR2002,BGR,SI.POV.NAHC,0,
YR2004,BGR,SI.POV.NAHC,0,
YR2005,BGR,SI.POV.NAHC,0,
YR2006,BGR,SI.POV.NAHC,0,
YR2007,BGR,SI.POV.NAHC,0,
YR2008,BGR,SI.POV.NAHC,0,
YR2009,BGR,SI.POV.NAHC,0,
YR2010,BGR,SI.POV.NAHC,0,
YR2011,BGR,SI.POV.NAHC,0,
YR2012,BGR,SI.POV.NAHC,0,
YR2013,BGR,SI.POV.NAHC,0,
YR2014,BGR,SI.POV.NAHC,0,
YR2015,BGR,SI.POV.NAHC,0,22.9
YR2016,BGR,SI.POV.NAHC,0,23.4
YR2017,BGR,SI.POV.NAHC,0,22
YR2000,BGR,SI.POV.NAHC.NC,0,14
YR2001,BGR,SI.POV.NAHC.NC,0,16
YR2002,BGR,SI.POV.NAHC.NC,0,14
YR2004,BGR,SI.POV.NAHC.NC,0,14
YR2005,BGR,SI.POV.NAHC.NC,0,18.4
YR2006,BGR,SI.POV.NAHC.NC,0,22
YR2007,BGR,SI.POV.NAHC.NC,0,21.4
YR2008,BGR,SI.POV.NAHC.NC,0,21.8
YR2009,BGR,SI.POV.NAHC.NC,0,20.7
