povertyline,headcount,povertygap,population,mean,popshr,weight,welfare,cumwelf,q,countrycode,cty,n,nq
3.928125,0.1605213,0.05697637,49648685,438.572,0.001686099999999996,83712.6477784998,3.916361796453373,20193978.448239792,4,COL,COL,5.65,100
3.953125,0.1622215,0.05763715,49648685,438.572,0.001700199999999985,84412.69423699926,3.9392897526761335,20526504.509643387,4,COL,COL,5.65,100
3.978125,0.1638937,0.05829964,49648685,438.572,0.0016722000000000126,83022.53105700063,3.9656508454431023,20855742.880120408,4,COL,COL,5.65,100
4.003125,0.1653903,0.05896383,49648685,438.572,0.0014965999999999868,74304.22197099935,3.990440185253228,21152249.43340746,4,COL,COL,5.65,100
4.028125,0.1667005,0.05962858,49648685,438.572,0.0013102000000000114,65049.70708700056,4.0151236690963215,21413432.052000258,4,COL,COL,5.65,100
4.053125,0.1684237,0.06029442,49648685,438.572,0.001723200000000008,85554.6139920004,4.040395920380711,21759106.565343283,4,COL,COL,5.65,100
4.078125,0.1700349,0.06096206,49648685,438.572,0.0016111999999999793,79993.96127199897,4.066030055238296,22084364.4161128,4,COL,COL,5.65,100
4.103125,0.1721256,0.06163311,49648685,438.572,0.002090700000000001,103800.50572950004,4.090411061486628,22508951.152936652,4,COL,COL,5.65,100
4.128125,0.1739266,0.06230744,49648685,438.572,0.001800999999999997,89417.28168499985,4.116239224736224,22877014.075177737,4,COL,COL,5.65,100
4.153125,0.1766286,0.06298679,49648685,438.572,0.00270200000000001,134150.7468700005,4.141671828737998,23432622.44429338,4,COL,COL,5.65,100
4.178125,0.1784424,0.06367203,49648685,438.572,0.0018138000000000043,90052.78485300021,4.166010585511033,23807783.299245726,4,COL,COL,5.65,100
4.203125,0.1806193,0.06436146,49648685,438.572,0.0021769000000000094,108080.22237650046,4.1900324285681085,24260642.935890116,4,COL,COL,5.65,100
4.228125,0.1827135,0.06505419,49648685,438.572,0.0020941999999999905,103974.27612699952,4.217379593042772,24699141.926229518,4,COL,COL,5.65,100
4.253125,0.1843508,0.06574992,49648685,438.572,0.0016373000000000082,81289.79195050041,4.242409855402178,25044006.540743914,4,COL,COL,5.65,100
4.278125,0.1864227,0.06644891,49648685,438.572,0.0020718999999999876,102867.1104514994,4.26589246283603,25482826.571892686,4,COL,COL,5.65,100
4.303125,0.1888893,0.06715414,49648685,438.572,0.0024666000000000132,122463.44642100066,4.288794304406839,26008047.103401106,4,COL,COL,5.65,100
4.328125,0.191147,0.06786378,49648685,438.572,0.0022577000000000014,112091.83612450007,4.315708990344199,26491802.8483078,4,COL,COL,5.65,100
4.353125,0.1932388,0.06857781,49648685,438.572,0.002091799999999977,103855.11928299886,4.340608820752473,26942597.295147885,4,COL,COL,5.65,100
4.378125,0.195223,0.06929541,49648685,438.572,0.0019842000000000193,98512.92077700095,4.36541572170139,27372647.148298528,4,COL,COL,5.65,100
4.403125,0.196989,0.07001491,49648685,438.572,0.0017659999999999898,87679.57770999949,4.391879990090657,27757725.331182674,4,COL,COL,5.65,100
4.428125,0.1985369,0.0707362,49648685,438.572,0.001547899999999991,76851.19951149955,4.415456202758438,28097058.43675515,4,COL,COL,5.65,100
4.453125,0.1999855,0.07145788,49648685,438.572,0.001448600000000022,71921.08509100109,4.440206492475604,28416402.905722104,4,COL,COL,5.65,100
4.478125,0.2016231,0.07217984,49648685,438.572,0.001637599999999989,81304.68655599946,4.466011770273601,28779510.592859603,5,COL,COL,5.65,100
4.503125,0.2032094,0.07290263,49648685,438.572,0.0015863000000000127,78757.70901550063,4.49131625086676,29133236.371241957,5,COL,COL,5.65,100
4.528125,0.2047323,0.07362674,49648685,438.572,0.0015228999999999937,75609.98238649969,4.5142098750739015,29474555.700385258,5,COL,COL,5.65,100
4.553125,0.2062607,0.07435132,49648685,438.572,0.0015283999999999853,75883.05015399927,4.539081351413209,29818995.03822763,5,COL,COL,5.65,100
4.578125,0.2084253,0.07507727,49648685,438.572,0.0021646000000000165,107469.54355100082,4.566226568996633,30309725.32334815,5,COL,COL,5.65,100
4.603125,0.210097,0.07580587,49648685,438.572,0.0016716999999999982,82997.70671449992,4.591079701800541,30690774.409941085,5,COL,COL,5.65,100
4.628125,0.211522,0.07653546,49648685,438.572,0.0014249999999999818,70749.3761249991,4.614542214912253,31017250.392748598,5,COL,COL,5.65,100
4.653125,0.2135671,0.07726656,49648685,438.572,0.002045100000000022,101536.52569350108,4.639807222140683,31488360.297972377,5,COL,COL,5.65,100
4.678125,0.2156334,0.07800033,49648685,438.572,0.002066299999999993,102589.07781549967,4.665951413758897,31967035.95064183,5,COL,COL,5.65,100
4.703125,0.2172354,0.07873634,49648685,438.572,0.0016019999999999923,79537.19336999962,4.6901909917291675,32340080.578493223,5,COL,COL,5.65,100
4.728125,0.2191735,0.07947428,49648685,438.572,0.0019380999999999982,96224.11639849991,4.7144022496259765,32793719.769310582,5,COL,COL,5.65,100
4.753125,0.2206083,0.08021268,49648685,438.572,0.0014348000000000138,71235.93323800068,4.741118448564125,33131457.76658595,5,COL,COL,5.65,100
4.778125,0.222641,0.08095264,49648685,438.572,0.0020326999999999984,100920.88199949992,4.765466528508924,33612392.851782165,5,COL,COL,5.65,100
4.803125,0.2243177,0.08169428,49648685,438.572,0.0016767000000000032,83245.95013950016,4.791208363153812,34011241.544289224,5,COL,COL,5.65,100
4.828125,0.2261481,0.08243763,49648685,438.572,0.001830399999999982,90876.95302399911,4.815340243252842,34448844.993369885,5,COL,COL,5.65,100
4.853125,0.2281926,0.08318366,49648685,438.572,0.0020445000000000046,101506.73648250023,4.839520160797185,34940088.89103367,5,COL,COL,5.65,100
4.878125,0.2297414,0.08393091,49648685,438.572,0.0015488000000000168,76895.88332800084,4.865240569311766,35314205.862214126,5,COL,COL,5.65,100
4.903125,0.2313657,0.08467885,49648685,438.572,0.0016242999999999952,80644.35904549976,4.889592362863966,35708523.90431106,5,COL,COL,5.65,100
4.928125,0.2333624,0.08542771,49648685,438.572,0.00199669999999999,99133.52933949951,4.9164535233134625,36195909.29391074,5,COL,COL,5.65,100
4.953125,0.2353532,0.08617932,49648685,438.572,0.0019908000000000148,98840.60209800073,4.940842987115793,36684265.18962895,5,COL,COL,5.65,100
4.978125,0.2376566,0.08693424,49648685,438.572,0.0023033999999999832,114360.78102899916,4.965648172267105,37252140.59292464,5,COL,COL,5.65,100
5.003125,0.2398354,0.08769317,49648685,438.572,0.0021788000000000085,108174.55487800042,4.989832060652615,37791913.45500171,5,COL,COL,5.65,100
5.028125,0.2418118,0.08845451,49648685,438.572,0.0019763999999999893,98125.66103399947,5.01569991524993,38284082.32473379,5,COL,COL,5.65,100
5.053125,0.2434832,0.08921753,49648685,438.572,0.0016714000000000173,82982.81210900086,5.040139964999317,38702327.31245239,5,COL,COL,5.65,100
5.078125,0.2454712,0.08998151,49648685,438.572,0.0019879999999999898,98701.5857799995,5.06658365819932,39202407.154003695,5,COL,COL,5.65,100
5.103125,0.2472896,0.09074757,49648685,438.572,0.0018183999999999978,90281.16880399988,5.090994727507692,39662028.10837809,5,COL,COL,5.65,100
5.128125,0.2491308,0.091515,49648685,438.572,0.001841200000000015,91413.15882200075,5.116216343281562,40129717.6055342,5,COL,COL,5.65,100
5.153125,0.2509908,0.09228405,49648685,438.572,0.0018600000000000005,92346.55410000002,5.140965977822533,40604468.09833145,6,COL,COL,5.65,100
5.178125,0.2530419,0.09305495,49648685,438.572,0.0020510999999999724,101834.41780349863,5.166351896543241,41130580.53588393,6,COL,COL,5.65,100
5.203125,0.2549511,0.09382868,49648685,438.572,0.0019091999999999998,94789.26940199999,5.189433319584219,41622483.12885772,6,COL,COL,5.65,100
